Word,Hint,Direction
⠇⠊⠎⠞⠑⠝,Listen in Braille,ACROSS
⠗⠑⠁⠙,Read in Braille,DOWN
⠺⠗⠊⠞⠑,Write in Braille,ACROSS
⠎⠏⠑⠁⠅,Speak in Braille,DOWN
⠎⠑⠑,See in Braille,ACROSS
⠓⠑⠁⠗,Hear in Braille,DOWN
⠋⠑⠑⠇,Feel in Braille,ACROSS
⠞⠁⠎⠞⠑,Taste in Braille,DOWN
⠎⠍⠑⠇⠇,Smell in Braille,ACROSS
⠞⠕⠥⠉⠓,Touch in Braille,DOWN
⠓⠁⠝⠙,Hand in Braille,ACROSS
⠋⠁⠉⠑,Face in Braille,DOWN
⠑⠽⠑,Eye in Braille,ACROSS
⠑⠁⠗,Ear in Braille,DOWN
⠝⠕⠎⠑,Nose in Braille,ACROSS
⠍⠕⠥⠞⠓,Mouth in Braille,DOWN
⠋⠕⠕⠞,Foot in Braille,ACROSS
⠇⠑⠛,Leg in Braille,DOWN
⠁⠗⠍,Arm in Braille,ACROSS
⠓⠁⠊⠗,Hair in Braille,DOWN
⠎⠅⠊⠝,Skin in Braille,ACROSS
⠃⠕⠝⠑,Bone in Braille,DOWN
⠓⠑⠁⠗⠞,Heart in Braille,ACROSS
⠃⠗⠁⠊⠝,Brain in Braille,DOWN
⠎⠞⠕⠍⠁⠉⠓,Stomach in Braille,ACROSS
⠃⠇⠕⠕⠙,Blood in Braille,DOWN
⠏⠁⠊⠝,Pain in Braille,ACROSS
⠓⠑⠁⠇,Heal in Braille,DOWN
⠙⠕⠉⠞⠕⠗,Doctor in Braille,ACROSS
⠝⠥⠗⠎⠑,Nurse in Braille,DOWN
⠓⠕⠎⠏⠊⠞⠁⠇,Hospital in Braille,ACROSS
⠍⠑⠙⠊⠉⠊⠝⠑,Medicine in Braille,DOWN
⠏⠇⠁⠽,Play in Braille,ACROSS
⠇⠁⠥⠛⠓,Laugh in Braille,DOWN
⠉⠗⠽,Cry in Braille,ACROSS
⠎⠍⠊⠇⠑,Smile in Braille,DOWN
⠎⠁⠙,Sad in Braille,ACROSS
⠓⠁⠏⠏⠽,Happy in Braille,DOWN
⠁⠝⠛⠗⠽,Angry in Braille,ACROSS
⠎⠉⠁⠗⠑⠙,Scared in Braille,DOWN
⠎⠥⠗⠏⠗⠊⠎⠑,Surprise in Braille,ACROSS
⠃⠕⠗⠑⠙,Bored in Braille,DOWN
⠞⠊⠗⠑⠙,Tired in Braille,ACROSS
⠎⠇⠑⠑⠏,Sleep in Braille,DOWN
⠙⠗⠑⠁⠍,Dream in Braille,ACROSS
⠓⠕⠏⠑,Hope in Braille,DOWN
⠋⠁⠊⠗,Fair in Braille,ACROSS
⠋⠗⠑⠑,Free in Braille,DOWN
⠏⠑⠁⠉⠑,Peace in Braille,ACROSS
⠺⠁⠗,War in Braille,DOWN
⠋⠗⠑⠎⠓,Fresh in Braille,ACROSS
⠉⠇⠑⠁⠝,Clean in Braille,DOWN
⠙⠊⠗⠞⠽,Dirty in Braille,ACROSS
⠓⠕⠙,Hot in Braille,DOWN
⠉⠕⠇⠙,Cold in Braille,ACROSS
⠋⠁⠎⠞,Fast in Braille,DOWN
⠎⠇⠕⠺,Slow in Braille,ACROSS
⠃⠊⠛,Big in Braille,DOWN
⠎⠍⠁⠇⠇,Small in Braille,ACROSS
⠇⠕⠝⠛,Long in Braille,DOWN
⠎⠓⠕⠗⠞,Short in Braille,ACROSS
⠓⠊⠛⠓,High in Braille,DOWN
⠇⠕⠺,Low in Braille,ACROSS
⠓⠁⠗⠙,Hard in Braille,DOWN
⠑⠁⠎⠽,Easy in Braille,ACROSS
⠋⠥⠇⠇,Full in Braille,DOWN
⠑⠍⠏⠞⠽,Empty in Braille,ACROSS
⠇⠊⠛⠓⠞,Light in Braille,DOWN
⠓⠑⠁⠧⠽,Heavy in Braille,ACROSS
⠋⠁⠇⠇,Fall in Braille,DOWN
⠗⠊⠎⠑,Rise in Braille,ACROSS
⠇⠑⠁⠋,Leaf in Braille,DOWN
⠋⠗⠥⠎⠞,Frost in Braille,ACROSS
⠉⠕⠗⠝,Corn in Braille,DOWN
⠺⠓⠑⠁⠞,Wheat in Braille,ACROSS
⠗⠊⠊⠉⠑,Rice in Braille,DOWN
⠏⠕⠞⠁⠞⠕,Potato in Braille,ACROSS
⠉⠁⠗⠗⠕⠞,Carrot in Braille,DOWN
⠏⠑⠁,Pea in Braille,ACROSS
⠃⠑⠁⠝,Bean in Braille,DOWN
⠉⠓⠑⠗⠗⠽,Cherry in Braille,ACROSS
⠃⠁⠝⠁⠝⠁,Banana in Braille,DOWN
⠁⠏⠏⠇⠑,Apple in Braille,ACROSS
⠏⠑⠁⠗,Pear in Braille,DOWN
⠏⠇⠥⠍,Plum in Braille,ACROSS
⠋⠊⠛,Fig in Braille,DOWN
⠇⠑⠍⠕⠝,Lemon in Braille,ACROSS
⠇⠊⠍⠑,Lime in Braille,DOWN
⠕⠗⠁⠝⠛⠑,Orange in Braille,ACROSS
⠍⠑⠇⠕⠝,Melon in Braille,DOWN
⠉⠁⠅⠑,Cake in Braille,ACROSS
⠏⠊⠉,Pie in Braille,DOWN
⠉⠓⠑⠑⠎⠑,Cheese in Braille,ACROSS
⠃⠥⠞⠞⠑⠗,Butter in Braille,DOWN
⠎⠥⠛⠁⠗,Sugar in Braille,ACROSS
⠎⠁⠇⠞,Salt in Braille,DOWN
⠏⠑⠏⠏⠑⠗,Pepper in Braille,ACROSS
⠎⠏⠊⠉⠑,Spice in Braille,DOWN
⠎⠕⠥⠏,Soup in Braille,ACROSS
⠎⠁⠇⠁⠙,Salad in Braille,DOWN
⠎⠁⠝⠙,Sand in Braille,ACROSS
⠎⠞⠕⠝⠑,Stone in Braille,DOWN
⠉⠇⠁⠽,Clay in Braille,ACROSS
⠉⠕⠁⠇,Coal in Braille,DOWN
⠊⠗⠕⠝,Iron in Braille,ACROSS
⠎⠞⠑⠑⠇,Steel in Braille,DOWN
⠉⠕⠏⠏⠑⠗,Copper in Braille,ACROSS
⠛⠕⠇⠙,Gold in Braille,DOWN
⠎⠊⠇⠧⠑⠗,Silver in Braille,ACROSS
⠉⠗⠽⠎⠞⠁⠇,Crystal in Braille,DOWN
⠙⠊⠁⠍⠕⠝⠙,Diamond in Braille,ACROSS
⠏⠁⠗⠇,Pearl in Braille,DOWN
⠎⠓⠑⠇⠇,Shell in Braille,ACROSS
⠋⠁⠃⠗⠊⠉,Fabric in Braille,DOWN
⠎⠁⠝⠙⠁⠇,Sandal in Braille,ACROSS
⠎⠏⠕⠝⠛⠑,Sponge in Braille,DOWN
⠃⠗⠁⠎⠎,Brass in Braille,ACROSS
⠃⠗⠕⠕⠍,Broom in Braille,DOWN
⠃⠗⠁⠉⠑,Brace in Braille,ACROSS
⠉⠓⠁⠇⠅,Chalk in Braille,DOWN
⠏⠁⠊⠝⠞,Paint in Braille,ACROSS
⠃⠗⠥⠎⠓,Brush in Braille,DOWN
⠏⠑⠞,Pet in Braille,ACROSS
⠋⠁⠗,Far in Braille,DOWN
⠝⠑⠁⠗,Near in Braille,ACROSS
⠉⠇⠕⠎⠑,Close in Braille,DOWN
⠕⠏⠑⠝,Open in Braille,ACROSS
⠎⠓⠥⠞,Shut in Braille,DOWN
⠏⠥⠥⠗,Pour in Braille,ACROSS
⠋⠊⠇⠇,Fill in Braille,DOWN
⠎⠏⠊⠇⠇,Spill in Braille,ACROSS
⠇⠊⠋⠞,Lift in Braille,DOWN
⠏⠥⠎⠓,Push in Braille,ACROSS
⠏⠥⠇⠇,Pull in Braille,DOWN
⠏⠁⠎⠎,Pass in Braille,ACROSS
⠞⠓⠗⠕⠺,Throw in Braille,DOWN
⠉⠁⠗⠗⠽,Carry in Braille,ACROSS
⠉⠁⠜⠞,Catch in Braille,DOWN
⠇⠑⠁⠙,Lead in Braille,ACROSS
⠋⠕⠇⠇⠕⠺,Follow in Braille,DOWN
⠎⠑⠑⠅,Seek in Braille,ACROSS
⠓⠊⠙⠑,Hide in Braille,DOWN
⠋⠊⠝⠙,Find in Braille,ACROSS
⠇⠕⠕⠅,Look in Braille,DOWN
⠇⠑⠁⠗⠝,Learn in Braille,ACROSS
⠞⠑⠁⠉⠓,Teach in Braille,DOWN
⠎⠞⠥⠙⠽,Study in Braille,ACROSS
⠞⠑⠎⠞,Test in Braille,DOWN
⠏⠁⠎⠎,Pass in Braille,ACROSS
⠋⠁⠊⠇,Fail in Braille,DOWN
⠉⠓⠁⠇⠇⠑⠝⠛⠑,Challenge in Braille,ACROSS
⠁⠝⠎⠺⠑⠗,Answer in Braille,DOWN
⠋⠕⠗⠍,Form in Braille,ACROSS
⠇⠊⠎⠞,List in Braille,DOWN
⠉⠓⠁⠗⠞,Chart in Braille,ACROSS
⠍⠁⠏,Map in Braille,DOWN
⠏⠁⠛⠑,Page in Braille,ACROSS
⠇⠊⠝⠑,Line in Braille,DOWN
⠏⠁⠗⠁⠛⠗⠁⠏⠓,Paragraph in Braille,ACROSS
⠎⠑⠝⠞⠑⠝⠉⠑,Sentence in Braille,DOWN
⠺⠕⠗⠙,Word in Braille,ACROSS
⠇⠑⠞⠞⠑⠗,Letter in Braille,DOWN
⠎⠽⠍⠃⠕⠇,Symbol in Braille,ACROSS
⠎⠕⠥⠝⠙,Sound in Braille,DOWN
⠏⠊⠉⠞⠥⠗⠑,Picture in Braille,ACROSS
⠏⠓⠕⠞⠕,Photo in Braille,DOWN
⠙⠁⠞⠑,Date in Braille,ACROSS
⠞⠊⠍⠑,Time in Braille,DOWN
⠙⠁⠽,Day in Braille,ACROSS
⠺⠑⠑⠅,Week in Braille,DOWN
⠍⠕⠝⠞⠓,Month in Braille,ACROSS
⠽⠑⠁⠗,Year in Braille,DOWN
⠎⠑⠉⠕⠝⠙,Second in Braille,ACROSS
⠍⠊⠝⠥⠞⠑,Minute in Braille,DOWN
⠓⠕⠥⠗,Hour in Braille,ACROSS
⠍⠕⠗⠝⠊⠝⠛,Morning in Braille,DOWN
⠑⠧⠑⠝⠊⠝⠛,Evening in Braille,ACROSS
⠝⠊⠛⠓⠞,Night in Braille,DOWN
⠎⠥⠝⠙⠁⠽,Sunday in Braille,ACROSS
⠍⠕⠝⠙⠁⠽,Monday in Braille,DOWN
⠞⠥⠑⠎⠙⠁⠽,Tuesday in Braille,ACROSS
⠺⠑⠙⠝⠑⠎⠙⠁⠽,Wednesday in Braille,DOWN
⠞⠓⠥⠗⠎⠙⠁⠽,Thursday in Braille,ACROSS
⠋⠗⠊⠙⠁⠽,Friday in Braille,DOWN
⠎⠁⠞⠥⠗⠙⠁⠽,Saturday in Braille,ACROSS
⠚⠁⠝⠥⠁⠗⠽,January in Braille,DOWN
⠋⠑⠃⠗⠥⠁⠗⠽,February in Braille,ACROSS
⠍⠁⠗⠉⠓,March in Braille,DOWN
⠁⠏⠗⠊⠇,April in Braille,ACROSS
⠍⠁⠽,May in Braille,DOWN
⠚⠥⠝⠑,June in Braille,ACROSS
⠚⠥⠇⠽,July in Braille,DOWN
⠁⠥⠛⠥⠎⠞,August in Braille,ACROSS
⠎⠑⠏⠞⠑⠍⠃⠑⠗,September in Braille,DOWN
⠕⠉⠞⠕⠃⠑⠗,October in Braille,ACROSS
⠝⠕⠧⠑⠍⠃⠑⠗,November in Braille,DOWN
⠙⠑⠉⠑⠍⠃⠑⠗,December in Braille,ACROSS
⠎⠥⠝⠙⠁⠽,Sunday in Braille,DOWN
⠍⠕⠝⠙⠁⠽,Monday in Braille,ACROSS
⠞⠥⠑⠎⠙⠁⠽,Tuesday in Braille,DOWN
⠺⠑⠙⠝⠑⠎⠙⠁⠽,Wednesday in Braille,ACROSS
⠞⠓⠥⠗⠎⠙⠁⠽,Thursday in Braille,DOWN
⠋⠗⠊⠙⠁⠽,Friday in Braille,ACROSS
⠎⠁⠞⠥⠗⠙⠁⠽,Saturday in Braille,DOWN
⠋⠊⠗⠎⠞,First in Braille,ACROSS
⠎⠑⠉⠕⠝⠙,Second in Braille,DOWN
⠞⠑⠗⠙,Third in Braille,ACROSS
⠋⠕⠥⠗⠞⠓,Fourth in Braille,DOWN
⠋⠊⠋⠞⠓,Fifth in Braille,ACROSS
⠎⠊⠭⠞⠓,Sixth in Braille,DOWN
⠎⠑⠗⠑⠝⠞⠓,Seventh in Braille,ACROSS
⠑⠊⠛⠓⠞,Eighth in Braille,DOWN
⠝⠊⠝⠑⠞⠓,Ninth in Braille,ACROSS
⠏⠗⠊⠍⠑,Prime in Braille,DOWN
⠏⠑⠗⠉⠑⠝⠞,Percent in Braille,ACROSS
⠋⠊⠇⠊⠏,Fillip in Braille,DOWN
⠡⢀⣖⣾⣰,Braille word #307,ACROSS
⢉⠿⠥⡰⢯,Braille word #308,DOWN
⣿⠁⡛⠐⠹,Braille word #309,ACROSS
⢀⢉⢃⡾⣧,Braille word #310,DOWN
⠖⣱⡠⡐⡭,Braille word #311,ACROSS
⠜⢶⠬⣲⣋,Braille word #312,DOWN
⠌⢘⣀⠥⢨,Braille word #313,ACROSS
⣢⠯⢗⠳⣝,Braille word #314,DOWN
⠌⡙⣰⢬⣉,Braille word #315,ACROSS
⣂⢪⣑⣰⣹,Braille word #316,DOWN
⠶⠛⢦⢘⠜,Braille word #317,ACROSS
⣞⣌⠳⡹⣰,Braille word #318,DOWN
⠳⢌⠔⠣⢸,Braille word #319,ACROSS
⣭⡍⡠⣺⣻,Braille word #320,DOWN
⢔⢢⠔⣦⠘,Braille word #321,ACROSS
⢑⢙⣦⣀⣞,Braille word #322,DOWN
⡄⠄⣄⠠⠎,Braille word #323,ACROSS
⡢⢨⠍⢿⣦,Braille word #324,DOWN
⢁⡽⡱⡕⣙,Braille word #325,ACROSS
⠁⠌⠱⡜⡈,Braille word #326,DOWN
⣈⣡⢕⢪⢵,Braille word #327,ACROSS
⢣⣌⢧⢦⣧,Braille word #328,DOWN
⢻⣛⢂⣰⣿,Braille word #329,ACROSS
⡇⡤⠪⣩⠛,Braille word #330,DOWN
⢻⣪⡿⠾⡠,Braille word #331,ACROSS
⢌⡲⡢⣍⢚,Braille word #332,DOWN
⢑⢎⠘⠜⣯,Braille word #333,ACROSS
⡟⣵⢳⢼⣼,Braille word #334,DOWN
⡝⣫⣯⢏⠘,Braille word #335,ACROSS
⢬⢣⢓⠰⢳,Braille word #336,DOWN
⡃⠃⡇⠝⠜,Braille word #337,ACROSS
⣥⠥⡆⣿⢲,Braille word #338,DOWN
⠫⠯⠓⢫⣺,Braille word #339,ACROSS
⣖⣏⢎⢥⠽,Braille word #340,DOWN
⠺⢜⡂⣜⣚,Braille word #341,ACROSS
⠏⡥⢡⠀⣭,Braille word #342,DOWN
⡎⡷⣐⢪⡨,Braille word #343,ACROSS
⣰⣥⠣⢞⡽,Braille word #344,DOWN
⠛⠳⢬⠳⣝,Braille word #345,ACROSS
⣾⢀⢓⠞⢙,Braille word #346,DOWN
⣌⡘⠢⠢⢶,Braille word #347,ACROSS
⢔⠇⣵⡑⠾,Braille word #348,DOWN
⣋⢷⢖⢦⠫,Braille word #349,ACROSS
⢎⣰⢌⣐⣙,Braille word #350,DOWN
⡐⣷⣞⣅⠠,Braille word #351,ACROSS
⣝⠢⢏⢤⠺,Braille word #352,DOWN
⢯⡙⢪⠵⣰,Braille word #353,ACROSS
⠅⣸⡺⣗⠜,Braille word #354,DOWN
⣬⡆⠣⢄⠆,Braille word #355,ACROSS
⡱⡸⢫⢺⢴,Braille word #356,DOWN
⢻⣛⣨⣜⡤,Braille word #357,ACROSS
⡘⠑⡱⠲⠵,Braille word #358,DOWN
⣨⣓⠪⠞⢡,Braille word #359,ACROSS
⡓⠰⡖⠙⠺,Braille word #360,DOWN
⠝⡲⢡⡏⠖,Braille word #361,ACROSS
⢲⠾⣏⠗⡶,Braille word #362,DOWN
⠲⡻⡌⠹⡄,Braille word #363,ACROSS
⣃⡽⣊⡯⡲,Braille word #364,DOWN
⣡⣰⣋⢭⢯,Braille word #365,ACROSS
⢃⢥⣽⢼⠯,Braille word #366,DOWN
⢀⢙⠅⣜⠜,Braille word #367,ACROSS
⡀⢴⢀⢔⠗,Braille word #368,DOWN
⡰⡅⣣⢃⢈,Braille word #369,ACROSS
⣟⢺⣼⡴⣠,Braille word #370,DOWN
⠖⡷⣽⠢⠩,Braille word #371,ACROSS
⡻⣥⡁⢉⠠,Braille word #372,DOWN
⡊⡗⢯⡹⢦,Braille word #373,ACROSS
⡓⢞⠋⢚⣴,Braille word #374,DOWN
⡡⡚⠕⠒⣟,Braille word #375,ACROSS
⣻⡳⣒⠩⢉,Braille word #376,DOWN
⠴⡢⣋⠵⡩,Braille word #377,ACROSS
⢉⣀⡉⢔⡞,Braille word #378,DOWN
⢿⠜⢿⣷⣏,Braille word #379,ACROSS
⢘⡉⠊⢡⣞,Braille word #380,DOWN
⢮⡕⣀⡹⣱,Braille word #381,ACROSS
⡰⢠⣭⡈⢤,Braille word #382,DOWN
⠆⢦⣴⢢⡩,Braille word #383,ACROSS
⢇⡃⢤⣉⢀,Braille word #384,DOWN
⢋⡵⢩⡹⡶,Braille word #385,ACROSS
⣗⠢⡥⡰⠐,Braille word #386,DOWN
⠶⠯⢄⡿⣇,Braille word #387,ACROSS
⣱⠬⣏⡂⢰,Braille word #388,DOWN
⣅⠛⡖⣑⠹,Braille word #389,ACROSS
⢬⢊⡳⡑⠋,Braille word #390,DOWN
⢕⠂⡽⣰⢲,Braille word #391,ACROSS
⢃⣔⢼⢦⢪,Braille word #392,DOWN
⡘⢀⠃⡽⢍,Braille word #393,ACROSS
⢋⠽⢓⣠⠴,Braille word #394,DOWN
⣓⣼⠑⡫⠃,Braille word #395,ACROSS
⡓⣈⠍⣤⠨,Braille word #396,DOWN
⠳⣆⠳⣫⡊,Braille word #397,ACROSS
⠅⡫⠆⢀⠃,Braille word #398,DOWN
⢘⢟⡘⠖⡓,Braille word #399,ACROSS
⡌⠻⡮⡵⡬,Braille word #400,DOWN
⠧⣐⢅⠟⠖,Braille word #401,ACROSS
⢞⢷⡐⢵⣧,Braille word #402,DOWN
⠘⡋⣙⣛⣹,Braille word #403,ACROSS
⠣⣍⡚⢷⢯,Braille word #404,DOWN
⡩⣝⣎⠪⡀,Braille word #405,ACROSS
⣄⡎⠣⡘⠲,Braille word #406,DOWN
⠙⣂⢂⡁⢴,Braille word #407,ACROSS
⢾⣲⠪⠜⢊,Braille word #408,DOWN
⡇⡱⡂⢘⢢,Braille word #409,ACROSS
⡌⠈⢣⡝⢒,Braille word #410,DOWN
⢦⡳⣚⣼⢪,Braille word #411,ACROSS
⠉⣈⡂⠴⡮,Braille word #412,DOWN
⢅⢎⣛⣷⢺,Braille word #413,ACROSS
⣠⡣⠟⠋⢳,Braille word #414,DOWN
⡢⣍⢨⢶⡆,Braille word #415,ACROSS
⡷⠾⣟⣶⣥,Braille word #416,DOWN
⡲⡪⣜⣒⡴,Braille word #417,ACROSS
⠛⡒⣇⢸⡧,Braille word #418,DOWN
⢫⢦⠯⠓⣖,Braille word #419,ACROSS
⢙⠛⣃⢏⠮,Braille word #420,DOWN
⡄⣫⣀⣄⡽,Braille word #421,ACROSS
⢁⡃⢃⡀⡛,Braille word #422,DOWN
⣝⡀⠫⠄⡇,Braille word #423,ACROSS
⠧⡯⢥⢴⡽,Braille word #424,DOWN
⢤⣢⣎⣂⡙,Braille word #425,ACROSS
⣼⢷⠻⣞⠮,Braille word #426,DOWN
⠏⠚⢘⢔⢞,Braille word #427,ACROSS
⠆⠙⢌⠟⡈,Braille word #428,DOWN
⡔⢨⣧⠚⡊,Braille word #429,ACROSS
⠕⠒⣃⡔⢂,Braille word #430,DOWN
⡵⣫⡱⣞⠖,Braille word #431,ACROSS
⡵⠸⠜⡄⣤,Braille word #432,DOWN
⠈⢺⣀⣗⢈,Braille word #433,ACROSS
⡬⣴⢞⡰⣈,Braille word #434,DOWN
⡸⠗⠥⣤⢍,Braille word #435,ACROSS
⣈⢺⢬⡫⠬,Braille word #436,DOWN
⢞⢿⡍⠢⠛,Braille word #437,ACROSS
⡹⠡⠇⡔⣔,Braille word #438,DOWN
⢹⡹⣡⡻⠱,Braille word #439,ACROSS
⠸⠢⡽⡭⣩,Braille word #440,DOWN
⣗⡞⡰⣜⡑,Braille word #441,ACROSS
⡚⠫⢁⣒⡻,Braille word #442,DOWN
⢇⡌⡁⣱⣩,Braille word #443,ACROSS
⢐⠊⣥⡚⣩,Braille word #444,DOWN
⣤⣋⡋⣘⢊,Braille word #445,ACROSS
⢁⢟⣀⣶⢒,Braille word #446,DOWN
⢬⡏⢲⢺⢋,Braille word #447,ACROSS
⢓⣖⠛⣁⡊,Braille word #448,DOWN
⠴⠪⣘⡌⢹,Braille word #449,ACROSS
⢯⠽⡙⣚⠒,Braille word #450,DOWN
⡧⣒⣈⠝⢹,Braille word #451,ACROSS
⢞⣋⡊⠐⢞,Braille word #452,DOWN
⢈⢌⡭⡊⢋,Braille word #453,ACROSS
⢷⣏⡣⣘⠰,Braille word #454,DOWN
⡌⢎⡛⣉⣬,Braille word #455,ACROSS
⢁⡰⠦⢼⢊,Braille word #456,DOWN
⢳⢲⠬⢚⢜,Braille word #457,ACROSS
⣤⠴⢽⠜⡚,Braille word #458,DOWN
⣀⣑⠅⡘⢼,Braille word #459,ACROSS
⢡⠀⡜⣎⣶,Braille word #460,DOWN
⣧⣷⣋⣚⡫,Braille word #461,ACROSS
⠾⠳⡀⣒⢬,Braille word #462,DOWN
⡉⡣⠇⣧⡴,Braille word #463,ACROSS
⡫⠮⣴⡎⢵,Braille word #464,DOWN
⡉⠚⠢⠴⣈,Braille word #465,ACROSS
⠝⢶⣭⣷⢐,Braille word #466,DOWN
⡢⡍⢘⣁⠅,Braille word #467,ACROSS
⢕⣹⢾⡳⡍,Braille word #468,DOWN
⢨⠶⣜⠯⠘,Braille word #469,ACROSS
⠺⠱⢗⠹⣒,Braille word #470,DOWN
⣻⣸⣽⢫⠲,Braille word #471,ACROSS
⢑⣼⡥⠸⡦,Braille word #472,DOWN
⣉⡣⣪⣾⠷,Braille word #473,ACROSS
⠘⣩⢈⡿⡬,Braille word #474,DOWN
⠈⢾⠻⡸⠙,Braille word #475,ACROSS
⢒⠰⡒⠟⠺,Braille word #476,DOWN
⠗⣊⢀⡗⢞,Braille word #477,ACROSS
⡽⡪⢴⣾⡭,Braille word #478,DOWN
⣳⡻⣱⡏⢄,Braille word #479,ACROSS
⢹⡙⡌⣚⠰,Braille word #480,DOWN
⢓⠔⡾⢅⣅,Braille word #481,ACROSS
⢄⣱⣸⡨⠶,Braille word #482,DOWN
⠭⢴⢑⢋⠍,Braille word #483,ACROSS
⣥⢛⠨⣙⢄,Braille word #484,DOWN
⡤⠤⣱⢇⠥,Braille word #485,ACROSS
